,label,sentence
1905,anger,A person walking his dog allowed it to defecate on the footpath outside my house. Although it had happened before, this was the first time I had witnessed it. All the skills I had learnt from Px 263 were thrown out the window when his indifference to my protestation was obvious to me.
2460,shame,When I began to date, the first gestures of affection made me feel ashamed. Note: for GUILT go to record n¦231
4511,anger,When I got to know about the reaction of a friend of mine in a certain situation. I had not expected him to react that way.
4854,anger,I had gone home for a week-end and when I came back I found that my clothes and my bedding had been stolen.
430,shame,A customer at the shop where I worked came in and asked if the goods that he had ordered had arrived. I had totally forgotten about this order and I tried to offer weak excuses.
3368,fear,As a result of breaking the indicator light as mentioned for guilt.
2739,joy,When I was admitted to a Language school. On the day when I was informed by a message and my parents congratulated me.
2643,sadness,I feel sadness from the fact that I was not born with a better appearance.
6988,sadness,Finding out that my best friend could not go to university.
7268,joy,Getting a letter from a friend who did not write for a long time.
4764,sadness,When my uncle died.
685,joy,As an evening class teacher I got positive feedback. When the atmosphere is good and a kind of relaxed understanding exists.
4366,disgust,When I was reading a book. It had nothing to do with the book itself but with the disagreable smell of the pages of the book.
4625,disgust,When I got grade \C\ in M160 at the end of my first year at UNA I had expected a \C+\ or a \B\ as M160 is easy, going by my capacity in mathematics.
934,shame,When I confessed to my girl-friend (now my wife) that I had betrayed her with another woman.
6297,sadness,It was at the time of my M.Sc exam, when I was not in a position to take the exam after having studied seriously.
3335,sadness,I was in a car accident on the way back from a weekend rowing regatta we'd won. 5 others were in the car. I thought I'd never be able to row again.
3796,disgust,A person whom I thought to be honest took and spend the little money that I had and I had no way of getting any money in the few following months.
732,shame,I entered the wrong room, and got into a bed where someone already was sleeping.
2103,disgust,When I have seen people very drunk and making fools of themselves.
7465,anger,Someone played a trick on me.
6952,guilt,A friend asked for help and I was not able to help.
5568,shame,When I lied to my best friend about a boy she really liked but he didn't like her. I told her he did and she bugged him for a long time embarrassing herself.
4150,disgust,When I was a child, one day while playing, I fell up to my waist in mud.
5564,fear,Getting back my Psych 140 midterm.
381,shame,When I as a child of 9 or 10 I was playing doctor with the neighbours boys their mother caught us.
3375,fear,Being driven by friend who suddenly swerved and skidded a little. It was night and on a long trip. We ended up on side of road.
1278,joy,When I made the acquaintance of a certain person.
5481,fear,English papers are due on Friday. They are returned on Tuesday. This Tuesday I was afraid to go to class and get my paper because I knew it was bad.
3676,shame,A friend catched me while masturbating. I am not fully sure whether she saw it or not.
6457,anger,I was very angry when I heard that my brother was beaten by his friends.
1953,fear,When my boyfriend was leaving to go home one night, I had a very deep sense of uneasiness and an unwarranted fear that I wouldn't see him again.
4906,shame,When I almost did something awful with a friend of mine and myself.
5833,shame,My grades. When my parents say, \How are you doing at school, getting good grades ?\ I say, \Great, just fine !\ Actually, I feel ashamed about myself.
